YKLCdelta4	S000007051
YKL117W	S000001600
YKL116C	S000001599
YKL115C	S000001598
YKL114C	S000001597
YKL113C	S000001596
YKL112W	S000001595
YKL111C	S000001594
YKL110C	S000001593
YKL109W	S000001592
YKL108W	S000001591
YKL107W	S000001590
YKL106C-A	S000007616
YKL106W	S000001589
YKL105C	S000001588
YKL104C	S000001587
YKL103C	S000001586
YKL102C	S000001585
YKL101W	S000001584
YKL100W-A	S000028840
YKL100C	S000001583
YKL099C	S000001582
YKL098W	S000001581
YKL097C	S000001580
YKL096C-B	S000028667
YKL096W-A	S000001956
YKL096W	S000001579
YKL095W	S000001578
YKL094W	S000001577
YKL093W	S000001576
YKL092C	S000001575
YKL091C	S000001574
YKL090W	S000001573
YKL089W	S000001572
YKL088W	S000001571
YKL087C	S000001570
YKL086W	S000001569
YKL085W	S000001568
YKL084W	S000001567
YKL083W	S000001566
YKL082C	S000001565
YKL081W	S000001564
YKL080W	S000001563
YKL079W	S000001562
YKL078W	S000001561
YKL077W	S000001560
YKL076C	S000001559
YKL075C	S000001558
YKL074C	S000001557
YKL073W	S000001556
YKL072W	S000001555
YKLCdelta5	S000007052
YKL071W	S000001554
YKL070W	S000001553
YKL069W	S000001552
YKL068W-A	S000028524
YKL068W	S000001551
YKLCdelta6	S000007053
YKLWdelta7	S000007057
YKL067W	S000001550
YKL066W	S000001549
YKL065W-A	S000113563
YKL065C	S000001548
YKL064W	S000001547
YKL063C	S000001546
YKL062W	S000001545
YKL061W	S000001544
YKL060C	S000001543
YKL059C	S000001542
YKL058W	S000001541
YKL057C	S000001540
YKL056C	S000001539
YKL055C	S000001538
YKL054C	S000001537
YKL053C-A	S000007243
YKL053W	S000001536
YKL052C	S000001535
YKL051W	S000001534
YKL050C	S000001533
YKL049C	S000001532
YKL048C	S000001531
YKL047W	S000001530
YKL046C	S000001529
YKL045W	S000001528
YKL044W	S000001527
YKL043W	S000001526
YKL042W	S000001525
YKL041W	S000001524
YKL040C	S000001523
YKL039W	S000001522
YKL038W	S000001521
YKL037W	S000001520
YKL035W	S000001518
YKL036C	S000001519
YKL034W	S000001517
YKL033W-A	S000007242
YKL033W	S000001516
YKL032C	S000001515
YKL031W	S000001514
YKL030W	S000001513
YKL029C	S000001512
YKL028W	S000001511
YKL027W	S000001510
YKL026C	S000001509
YKL025C	S000001508
YKL024C	S000001507
YKL023C-A	S000113559
YKL023W	S000001506
YKL022C	S000001505
YKL021C	S000001504
YKL020C	S000001503
YKL019W	S000001502
YKL018C-A	S000007615
YKL018W	S000001501
YKL017C	S000001500
YKL016C	S000001499
YKL015W	S000001498
YKL014C	S000001497
YKL013C	S000001496
YKL012W	S000001495
YKL011C	S000001494
YKL010C	S000001493
YKL009W	S000001492
YKL008C	S000001491
YKL007W	S000001490
YKL006C-A	S000002101
YKL006W	S000001489
YKL005C	S000001488
YKL004W	S000001487
YKL003C	S000001486
YKL002W	S000001485
YKL001C	S000001484
YKR001C	S000001709
YKR002W	S000001710
YKR003W	S000001711
YKR004C	S000001712
YKR005C	S000001713
YKR006C	S000001714
YKR007W	S000001715
YKR008W	S000001716
YKR009C	S000001717
YKRCdelta8	S000007058
YKR010C	S000001718
YKR011C	S000001719
YKR013W	S000001721
YKR012C	S000001720
YKR014C	S000001722
YKR015C	S000001723
YKR016W	S000001724
YKR017C	S000001725
YKR018C	S000001726
YKR019C	S000001727
YKR020W	S000001728
YKR021W	S000001729
YKR022C	S000001730
YKR023W	S000001731
YKR024C	S000001732
YKR025W	S000001733
YKR026C	S000001734
YKRCdelta9	S000007059
YKRWdelta10	S000007062
YKR027W	S000001735
YKR028W	S000001736
YKR029C	S000001737
YKR030W	S000001738
YKR031C	S000001739
YKR032W	S000001740
YKR034W	S000001742
YKR033C	S000001741
YKR035W-A	S000006435
YKR035C	S000001743
YKR036C	S000001744
YKR037C	S000001745
YKR038C	S000001746
YKRCdelta11	S000007060
YKR039W	S000001747
YKRCdelta12	S000007061
YKR041W	S000001749
YKR040C	S000001748
YKR042W	S000001750
YKR043C	S000001751
YKR044W	S000001752
YKR045C	S000001753
YKR046C	S000001754
YKR047W	S000001755
YKR048C	S000001756
YKR049C	S000001757
YKR050W	S000001758
YKR051W	S000001759
YKR052C	S000001760
YKR053C	S000001761
YKR054C	S000001762
YKR055W	S000001763
YKR056W	S000001764
YKR057W	S000001765
YKR058W	S000001766
YKR059W	S000001767
YKR060W	S000001768
YKR061W	S000001769
YKR062W	S000001770
YKR063C	S000001771
YKR064W	S000001772
YKR065C	S000001773
YKR066C	S000001774
YKR067W	S000001775
YKR068C	S000001776
YKR069W	S000001777
YKR070W	S000001778
YKR071C	S000001779
YKR072C	S000001780
YKR073C	S000001781
YKR074W	S000001782
YKR075W-A	S000028669
YKR075C	S000001783
YKR076W	S000001784
YKR077W	S000001785
YKR078W	S000001786
YKR079C	S000001787
YKR080W	S000001788
YKR081C	S000001789
YKR082W	S000001790
YKR083C	S000001791
YKR084C	S000001792
YKR085C	S000001793
YKR086W	S000001794
YKR087C	S000001795
YKR088C	S000001796
YKR089C	S000001797
YKR090W	S000001798
YKR091W	S000001799
YKR092C	S000001800
YKR093W	S000001801
YKR094C	S000001802
YKR095W	S000001803
YKR095W-A	S000028512
YKR096W	S000001804
YKR097W	S000001805
YKR098C	S000001806
YKR099W	S000001807
YKR100C	S000001808
YKR101W	S000001809
YKR102W	S000001810
YKR103W	S000001811
YKR104W	S000001812
YKR105C	S000001813
YKR106W	S000001814
YKRWomega1	S000007063
YLL067W-A	S000028673
YLL067C	S000003990
YLL066W-B	S000028672
TEL12L-YP1	S000028916
YLL066W-A	S000028671
YLL066C	S000003989
TEL12L-YP2	S000028917
YLL065W	S000003988
YLL064C	S000003987
YLL063C	S000003986
YLL062C	S000003985
YLL061W	S000003984
YLL060C	S000003983
YLL059C	S000003982
YLL058W	S000003981
YLL057C	S000003980
YLL056C	S000003979
YLL055W	S000003978
YLL054C	S000003977
YLL053C	S000003976
YLL052C	S000003975
YLL051C	S000003974
YLL050C	S000003973
YLL049W	S000003972
YLL048C	S000003971
YLL047W	S000003970
YLL046C	S000003969
YLL044W	S000003967
YLL045C	S000003968
YLL043W	S000003966
YLL042C	S000003965
YLL041C	S000003964
YLL040C	S000003963
YLL039C	S000003962
YLL038C	S000003961
YLL037W	S000003960
YLL036C	S000003959
YLL035W	S000003958
YLL034C	S000003957
YLL033W	S000003956
YLL032C	S000003955
YLL031C	S000003954
YLL030C	S000003953
YLL029W	S000003952
YLL028W	S000003951
YLL027W	S000003950
YLL026W	S000003949
YLLCdelta1	S000007064
YLL025W	S000003948
YLL024C	S000003947
YLL023C	S000003946
YLL022C	S000003945
YLL021W	S000003944
YLL020C	S000003943
YLL019W-A	S000028670
YLL019C	S000003942
YLL018C-A	S000007245
YLL018C	S000003941
YLL017W	S000003940
YLL016W	S000003939
YLL015W	S000003938
YLL014W	S000003937
YLL013C	S000003936
YLL012W	S000003935
YLL011W	S000003934
YLL010C	S000003933
YLL009C	S000003932
YLL008W	S000003931
YLL007C	S000003930
YLL006W-A	S000028560
YLL006W	S000003929
YLL005C	S000003928
YLL004W	S000003927
YLL003W	S000003926
YLL002W	S000003925
YLL001W	S000003924
YLR001C	S000003991
YLR002C	S000003992
YLR003C	S000003993
YLR004C	S000003994
YLR005W	S000003995
YLR006C	S000003996
YLR007W	S000003997
YLR008C	S000003998
YLR009W	S000003999
YLR010C	S000004000
YLRCsigma1	S000007079
YLR011W	S000004001
YLR012C	S000004002
YLR013W	S000004003
YLR014C	S000004004
YLR015W	S000004005
YLR016C	S000004006
YLR017W	S000004007
YLR018C	S000004008
YLR019W	S000004009
YLR020C	S000004010
YLR021W	S000004011
YLR022C	S000004012
YLR023C	S000004013
YLR024C	S000004014
YLR025W	S000004015
YLR026C	S000004016
YLR027C	S000004017
YLR028C	S000004018
YLR029C	S000004019
YLR030W	S000004020
YLR031W	S000004021
YLR032W	S000004022
YLR033W	S000004023
YLR034C	S000004024
YLR035C	S000004025
YLRCdelta2	S000007065
YLR035C-A	S000007225
YLRCdelta3	S000007066
YLRWdelta4	S000007083
YLR036C	S000004026
YLR037C	S000004027
YLR038C	S000004028
YLR039C	S000004029
YLR041W	S000004031
YLR040C	S000004030
YLR042C	S000004032
YLR043C	S000004033
YLR044C	S000004034
YLR045C	S000004035
YLR046C	S000004036
YLR047C	S000004037
YLR048W	S000004038
YLR049C	S000004039
YLR050C	S000004040
YLR051C	S000004041
YLR052W	S000004042
YLR053C	S000004043
YLR054C	S000004044
YLR055C	S000004045
YLR056W	S000004046
YLR057W	S000004047
YLR058C	S000004048
YLR059C	S000004049
YLR060W	S000004050
YLR061W	S000004051
YLR062C	S000004052
YLR063W	S000004053
YLR064W	S000004054
YLR065C	S000004055
YLR066W	S000004056
YLR067C	S000004057
YLR068W	S000004058
